cc_card_last4,bank_txn_id,bank_date,bank_amount,current_allocated_to_wave,fifo_allocated_to_wave,delta_allocated,current_coverage_pct,fifo_coverage_pct
8154,713,2024-12-20,2152.03,0.00,0.00,0.00,0.0,0.0
8154,714,2024-12-20,400.00,400.00,0.00,-400.00,100.0,0.0
8154,698,2024-12-31,63.95,0.00,0.00,0.00,0.0,0.0
8154,699,2024-12-31,17.24,0.00,0.00,0.00,0.0,0.0
8154,677,2025-01-08,108.40,0.00,0.00,0.00,0.0,0.0
8154,678,2025-01-08,55.86,0.00,0.00,0.00,0.0,0.0
8154,680,2025-01-08,48.16,0.00,0.00,0.00,0.0,0.0
8154,681,2025-01-08,76.22,0.00,0.00,0.00,0.0,0.0
8154,645,2025-01-16,14.40,0.00,0.00,0.00,0.0,0.0
8154,647,2025-01-16,90.08,0.00,0.00,0.00,0.0,0.0
8154,648,2025-01-16,2415.47,0.00,0.00,0.00,0.0,0.0
8154,649,2025-01-16,36.00,0.00,0.00,0.00,0.0,0.0
8154,650,2025-01-16,129.29,0.00,0.00,0.00,0.0,0.0
8154,652,2025-01-16,642.89,0.00,0.00,0.00,0.0,0.0
8154,653,2025-01-16,337.47,0.00,0.00,0.00,0.0,0.0
8154,605,2025-01-27,79.70,0.00,0.00,0.00,0.0,0.0
8154,606,2025-01-27,76.91,0.00,0.00,0.00,0.0,0.0
8154,608,2025-01-27,42.18,0.00,0.00,0.00,0.0,0.0
8154,609,2025-01-27,60.00,60.00,0.00,-60.00,100.0,0.0
8154,610,2025-01-27,121.89,121.89,121.89,0.00,100.0,100.0
8154,612,2025-01-27,400.00,400.00,0.00,-400.00,100.0,0.0
8154,557,2025-02-12,4391.25,0.00,0.00,0.00,0.0,0.0
8154,558,2025-02-12,2314.34,0.00,0.00,0.00,0.0,0.0
8154,564,2025-02-12,119.04,0.00,0.00,0.00,0.0,0.0
8154,565,2025-02-12,11.69,0.00,0.00,0.00,0.0,0.0
8154,519,2025-02-27,1958.20,0.00,0.00,0.00,0.0,0.0
8154,468,2025-03-17,1869.91,0.00,47.66,47.66,0.0,2.5
8154,448,2025-03-20,2531.83,0.00,0.00,0.00,0.0,0.0
