cc_card_last4,bank_txn_id,bank_date,bank_amount,prev_payment_date,period_wave_matched_purchases,allocated_to_wave_any,allocated_cc_alloc_v1,allocated_manual_split_v1,period_minus_allocated,bank_minus_allocated,bank_description
0318,1054,2024-09-03,40.53,2024-08-19,40.53,40.53,40.53,0.00,0.00,0.00,Internet Banking INTERNET TRANSFER000000238569 4500*********318
0318,1023,2024-09-18,30.44,2024-09-03,30.44,30.44,30.44,0.00,0.00,0.00,Internet Banking INTERNET TRANSFER000000117199 4500*********318
0318,952,2024-10-11,531.07,2024-09-18,0.00,531.07,531.07,0.00,-531.07,0.00,Internet Banking INTERNET TRANSFER000000202309 4500*********318
0318,889,2024-10-28,93.02,2024-10-11,624.09,93.02,93.02,0.00,531.07,0.00,Internet Banking INTERNET TRANSFER000000113542 4500*********318
0318,865,2024-11-04,274.78,2024-10-28,627.63,0.00,0.00,0.00,627.63,274.78,Internet Banking INTERNET TRANSFER000000116353 4500*********318
0318,866,2024-11-04,105.90,2024-11-04,0.00,0.00,0.00,0.00,0.00,105.90,Internet Banking INTERNET TRANSFER000000134984 4500*********318
0318,873,2024-11-04,627.63,2024-11-04,0.00,627.63,627.63,0.00,-627.63,0.00,Internet Banking INTERNET TRANSFER000000220997 4500*********318
0318,858,2024-11-06,32.74,2024-11-04,0.00,0.00,0.00,0.00,0.00,32.74,Internet Banking INTERNET TRANSFER000000105928 4500*********318
0318,841,2024-11-12,570.59,2024-11-06,570.59,570.59,570.59,0.00,0.00,0.00,Internet Banking INTERNET TRANSFER000000114876 4500*********318
0318,823,2024-11-18,89.84,2024-11-12,0.00,0.00,0.00,0.00,0.00,89.84,Internet Banking INTERNET TRANSFER000000105233 4500*********318
0318,779,2024-12-03,30.02,2024-11-18,0.00,0.00,0.00,0.00,0.00,30.02,Internet Banking INTERNET TRANSFER000000135363 4500*********318
0318,786,2024-12-03,64.98,2024-12-03,0.00,0.00,0.00,0.00,0.00,64.98,Internet Banking INTERNET TRANSFER000000134762 4500*********318
0318,740,2024-12-12,688.84,2024-12-03,688.84,688.84,688.84,0.00,0.00,0.00,Internet Banking INTERNET TRANSFER000000228879 4500*********318
0318,679,2025-01-08,691.66,2024-12-12,691.66,691.66,691.66,0.00,0.00,0.00,Internet Banking INTERNET TRANSFER000000212813 4500*********318
0318,644,2025-01-16,29.21,2025-01-08,0.00,0.00,0.00,0.00,0.00,29.21,Internet Banking INTERNET TRANSFER000000112952 4500*********318
0318,646,2025-01-16,407.10,2025-01-16,0.00,0.00,0.00,0.00,0.00,407.10,Internet Banking INTERNET TRANSFER000000219840 4500*********318
0318,654,2025-01-16,340.67,2025-01-16,0.00,0.00,0.00,0.00,0.00,340.67,Internet Banking INTERNET TRANSFER000000217589 4500*********318
0318,613,2025-01-27,28.00,2025-01-16,0.00,0.00,0.00,0.00,0.00,28.00,Internet Banking INTERNET TRANSFER000000212141 4500*********318
0318,614,2025-01-27,185.03,2025-01-27,0.00,0.00,0.00,0.00,0.00,185.03,Internet Banking INTERNET TRANSFER000000235128 4500*********318
0318,615,2025-01-27,146.15,2025-01-27,0.00,0.00,0.00,0.00,0.00,146.15,Internet Banking INTERNET TRANSFER000000234778 4500*********318
0318,616,2025-01-27,228.83,2025-01-27,0.00,0.00,0.00,0.00,0.00,228.83,Internet Banking INTERNET TRANSFER000000234567 4500*********318
0318,617,2025-01-27,90.90,2025-01-27,0.00,0.00,0.00,0.00,0.00,90.90,Internet Banking INTERNET TRANSFER000000206076 4500*********318
0318,618,2025-01-27,16.40,2025-01-27,0.00,0.00,0.00,0.00,0.00,16.40,Internet Banking INTERNET TRANSFER000000234084 4500*********318
0318,576,2025-02-10,40.74,2025-01-27,1133.99,0.00,0.00,0.00,1133.99,40.74,Internet Banking INTERNET TRANSFER000000136083 4500*********318
0318,577,2025-02-10,36.79,2025-02-10,0.00,0.00,0.00,0.00,0.00,36.79,Internet Banking INTERNET TRANSFER000000107356 4500*********318
0318,578,2025-02-10,72.22,2025-02-10,0.00,0.00,0.00,0.00,0.00,72.22,Internet Banking INTERNET TRANSFER000000114754 4500*********318
0318,555,2025-02-12,601.67,2025-02-10,0.00,601.67,601.67,0.00,-601.67,0.00,Internet Banking INTERNET TRANSFER000000112387 4500*********318
0318,556,2025-02-12,329.65,2025-02-12,0.00,329.65,329.65,0.00,-329.65,0.00,Internet Banking INTERNET TRANSFER000000203455 4500*********318
0318,559,2025-02-12,155.41,2025-02-12,0.00,155.41,155.41,0.00,-155.41,0.00,Internet Banking INTERNET TRANSFER000000214182 4500*********318
0318,560,2025-02-12,21.01,2025-02-12,0.00,21.01,21.01,0.00,-21.01,0.00,Internet Banking INTERNET TRANSFER000000225716 4500*********318
0318,562,2025-02-12,1033.68,2025-02-12,0.00,1033.68,1033.68,0.00,-1033.68,0.00,Internet Banking INTERNET TRANSFER000000213701 4500*********318
0318,516,2025-02-27,632.28,2025-02-12,1421.66,0.00,0.00,0.00,1421.66,632.28,Internet Banking INTERNET TRANSFER000000233434 4500*********318
0318,520,2025-02-27,193.24,2025-02-27,0.00,193.24,193.24,0.00,-193.24,0.00,Internet Banking INTERNET TRANSFER000000134104 4500*********318
0318,523,2025-02-27,26.25,2025-02-27,0.00,26.25,26.25,0.00,-26.25,0.00,Internet Banking INTERNET TRANSFER000000128460 4500*********318
