id,bank_txn_id,target_type,target_id,amount_cents,notes,created_at
132,430,WAVE_BILL,671,892,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=450 cc_purchase_txn_id=461,2026-01-21 17:59:31
133,431,WAVE_BILL,670,9719,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=451 cc_purchase_txn_id=462,2026-01-21 17:59:31
134,428,WAVE_BILL,675,5952,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=453 cc_purchase_txn_id=456,2026-01-21 17:59:31
135,404,WAVE_BILL,681,7226,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=434 cc_purchase_txn_id=440,2026-01-21 17:59:31
136,406,WAVE_BILL,683,6855,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=435 cc_purchase_txn_id=433,2026-01-21 17:59:31
137,368,WAVE_BILL,689,33391,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=403 cc_purchase_txn_id=409,2026-01-21 17:59:31
138,366,WAVE_BILL,687,1945,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=404 cc_purchase_txn_id=416,2026-01-21 17:59:31
139,369,WAVE_BILL,690,2783,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=405 cc_purchase_txn_id=408,2026-01-21 17:59:31
140,356,WAVE_BILL,655,5108,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=391 cc_purchase_txn_id=501,2026-01-21 17:59:31
141,334,WAVE_BILL,699,4574,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=362 cc_purchase_txn_id=375,2026-01-21 17:59:31
142,320,WAVE_BILL,634,4766,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=2751 cc_purchase_txn_id=3034,2026-01-21 17:59:31
143,308,WAVE_BILL,700,4912,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=324 cc_purchase_txn_id=381,2026-01-21 17:59:31
144,1402,WAVE_BILL,158,29230,MANUAL_SPLIT_V1 Dollarama - split payment $292.30 + $20.10 on Jan 8,2026-01-21 17:59:31
145,1404,WAVE_BILL,158,2010,MANUAL_SPLIT_V1 Dollarama - split payment $292.30 + $20.10 on Jan 8,2026-01-21 17:59:31
146,1042,WAVE_BILL,324,128250,MANUAL_SPLIT_V1 August rent - e-transfer to Thomas Sept 9 (with Sept rent),2026-01-21 17:59:31
